symbol,base,quote,type,futures_available,active,spot,future
ID/BTC,ID,BTC,spot,True,True,True,True
ID/USDT,ID,USDT,spot,True,True,True,True
IDEX/USDT,IDEX,USDT,spot,True,True,True,True
ILV/BTC,ILV,BTC,spot,True,True,True,True
ILV/USDT,ILV,USDT,spot,True,True,True,True
IMX/BTC,IMX,BTC,spot,True,True,True,True
IMX/USDT,IMX,USDT,spot,True,True,True,True
INIT/USDT,INIT,USDT,spot,True,True,True,True
INJ/BTC,INJ,BTC,spot,True,True,True,True
INJ/USDT,INJ,USDT,spot,True,True,True,True
IO/BTC,IO,BTC,spot,True,True,True,True
IO/USDT,IO,USDT,spot,True,True,True,True
IOST/USDT,IOST,USDT,spot,True,True,True,True
IOTA/BTC,IOTA,BTC,spot,True,True,True,True
IOTA/USDT,IOTA,USDT,spot,True,True,True,True
IOTX/BTC,IOTX,BTC,spot,True,True,True,True
IOTX/USDT,IOTX,USDT,spot,True,True,True,True
IQ/USDT,IQ,USDT,spot,True,True,True,True
JASMY/USDT,JASMY,USDT,spot,True,True,True,True
JOE/BTC,JOE,BTC,spot,True,True,True,True
JOE/USDT,JOE,USDT,spot,True,True,True,True
JST/BTC,JST,BTC,spot,True,True,True,True
JST/USDT,JST,USDT,spot,True,True,True,True
JTO/USDT,JTO,USDT,spot,True,True,True,True
JUP/USDT,JUP,USDT,spot,True,True,True,True
JUV/USDT,JUV,USDT,spot,True,True,True,True
KAIA/USDT,KAIA,USDT,spot,True,True,True,True
KAITO/BTC,KAITO,BTC,spot,True,True,True,True
KAITO/USDT,KAITO,USDT,spot,True,True,True,True
KAVA/BTC,KAVA,BTC,spot,True,True,True,True
KAVA/USDT,KAVA,USDT,spot,True,True,True,True
KDA/BTC,KDA,BTC,spot,True,True,True,True
KDA/USDT,KDA,USDT,spot,True,True,True,True
KERNEL/USDT,KERNEL,USDT,spot,True,True,True,True
KMNO/USDT,KMNO,USDT,spot,True,True,True,True
KNC/BTC,KNC,BTC,spot,True,True,True,True
KNC/USDT,KNC,USDT,spot,True,True,True,True
KSM/BTC,KSM,BTC,spot,True,True,True,True
KSM/USDT,KSM,USDT,spot,True,True,True,True
LA/USDT,LA,USDT,spot,True,True,True,True
LAYER/BTC,LAYER,BTC,spot,True,True,True,True
LAYER/USDT,LAYER,USDT,spot,True,True,True,True
LAZIO/USDT,LAZIO,USDT,spot,True,True,True,True
LDO/BTC,LDO,BTC,spot,True,True,True,True
LDO/USDT,LDO,USDT,spot,True,True,True,True
LINK/BTC,LINK,BTC,spot,True,True,True,True
LINK/USDT,LINK,USDT,spot,True,True,True,True
LISTA/USDT,LISTA,USDT,spot,True,True,True,True
LOKA/BTC,LOKA,BTC,spot,True,True,True,True
LOKA/USDT,LOKA,USDT,spot,True,True,True,True
LPT/BTC,LPT,BTC,spot,True,True,True,True
LPT/USDT,LPT,USDT,spot,True,True,True,True
LQTY/USDT,LQTY,USDT,spot,True,True,True,True
LRC/BTC,LRC,BTC,spot,True,True,True,True
LRC/USDT,LRC,USDT,spot,True,True,True,True
LSK/BTC,LSK,BTC,spot,True,True,True,True
LSK/USDT,LSK,USDT,spot,True,True,True,True
LTC/BTC,LTC,BTC,spot,True,True,True,True
LTC/USDT,LTC,USDT,spot,True,True,True,True
LUMIA/USDT,LUMIA,USDT,spot,True,True,True,True
LUNA/USDT,LUNA,USDT,spot,True,True,True,True
LUNC/USDT,LUNC,USDT,spot,True,True,True,True
MAGIC/BTC,MAGIC,BTC,spot,True,True,True,True
MAGIC/USDT,MAGIC,USDT,spot,True,True,True,True
MANA/BTC,MANA,BTC,spot,True,True,True,True
MANA/USDT,MANA,USDT,spot,True,True,True,True
MANTA/BTC,MANTA,BTC,spot,True,True,True,True
MANTA/USDT,MANTA,USDT,spot,True,True,True,True
MASK/USDT,MASK,USDT,spot,True,True,True,True
MAV/BTC,MAV,BTC,spot,True,True,True,True
MAV/USDT,MAV,USDT,spot,True,True,True,True
MBL/USDT,MBL,USDT,spot,True,True,True,True
MBOX/USDT,MBOX,USDT,spot,True,True,True,True
MDT/USDT,MDT,USDT,spot,True,True,True,True
ME/BTC,ME,BTC,spot,True,True,True,True
ME/USDT,ME,USDT,spot,True,True,True,True
MEME/USDT,MEME,USDT,spot,True,True,True,True
METIS/USDT,METIS,USDT,spot,True,True,True,True
MINA/BTC,MINA,BTC,spot,True,True,True,True
MINA/USDT,MINA,USDT,spot,True,True,True,True
MKR/BTC,MKR,BTC,spot,True,True,True,True
MKR/USDT,MKR,USDT,spot,True,True,True,True
MLN/USDT,MLN,USDT,spot,True,True,True,True
MOVE/BTC,MOVE,BTC,spot,True,True,True,True
